id,location_x,location_y,land_use_category,dryland_category,country,many_trees,tree_count
SWA15059,68.39491093,32.315495,grassland,Semiarid,Afghanistan,FALSE,0
SWA1880,62.63149973,32.50656666,otherland,Arid,Afghanistan,FALSE,0
SWA2102,61.88580821,31.85681521,otherland,Arid,Afghanistan,FALSE,0
SWA2444,62.891562,31.49623146,grassland,Arid,Afghanistan,FALSE,0
SWA13298,68.34074252,35.97630944,grassland,Semiarid,Afghanistan,FALSE,0
SWA13853,66.86795461,34.82960998,grassland,Semiarid,Afghanistan,FALSE,0
SWA14181,71.62345606,35.22873146,forest,Semiarid,Afghanistan,TRUE,0
SWA1377,60.76821416,33.26303796,otherland,Arid,Afghanistan,FALSE,0
SWA3608,63.81808439,29.87980293,otherland,Arid,Afghanistan,FALSE,0
SWA14455,67.13125082,33.77885059,grassland,Semiarid,Afghanistan,FALSE,0
SWA14393,66.12792248,33.69018687,grassland,Semiarid,Afghanistan,FALSE,0
SWA3520,66.16484323,30.59126864,grassland,Arid,Afghanistan,FALSE,0
SWA14216,66.62298403,34.16476684,grassland,Semiarid,Afghanistan,FALSE,0
SWA13778,66.65801832,34.90911088,otherland,Semiarid,Afghanistan,FALSE,0
SWA12666,68.30274378,36.94244753,grassland,Semiarid,Afghanistan,FALSE,0
SWA6475,70.43498494,37.99024248,grassland,Dry subhumid,Afghanistan,FALSE,0
SWA14811,67.76941399,33.04932875,otherland,Semiarid,Afghanistan,FALSE,0
SWA12525,66.20041652,36.77563038,otherland,Semiarid,Afghanistan,FALSE,0
SWA2707,63.0807472,31.08174878,grassland,Arid,Afghanistan,FALSE,0
SWA12953,67.15927825,36.23475475,otherland,Semiarid,Afghanistan,FALSE,0
SWA13204,67.9634501,36.02589644,otherland,Semiarid,Afghanistan,FALSE,0
SWA14516,68.29708439,33.89176882,otherland,Semiarid,Afghanistan,FALSE,0
SWA14884,67.07196201,32.65802261,otherland,Semiarid,Afghanistan,FALSE,0
SWA14012,68.25989414,34.86302731,grassland,Semiarid,Afghanistan,FALSE,0
SWA14682,69.71300894,33.79690673,grassland,Semiarid,Afghanistan,FALSE,0
SWA12479,70.36761129,37.67412533,otherland,Semiarid,Afghanistan,FALSE,0
SWA2730,67.41826255,32.08076521,grassland,Arid,Afghanistan,FALSE,0
SWA1603,62.56143113,33.10241918,grassland,Arid,Afghanistan,FALSE,0
SWA14581,70.27463566,34.14401576,cropland,Semiarid,Afghanistan,FALSE,0
SWA13831,62.86946345,33.94027785,grassland,Semiarid,Afghanistan,FALSE,0
SWA13265,62.64982536,34.75927189,grassland,Semiarid,Afghanistan,FALSE,0
SWA13913,64.98634341,34.30490402,grassland,Semiarid,Afghanistan,FALSE,0
SWA2811,64.82329919,31.35097387,otherland,Arid,Afghanistan,FALSE,0
SWA1751,65.57330262,33.4996542,otherland,Arid,Afghanistan,FALSE,0
